fid,districtID,districtID_old,nameID,district_en,provinceID,province_bahasa,province_en,islandID,island_bahasa,island_en,district_bahasa,gfcf_2010,gfcf_2011,gfcf_2012,gfcf_2013,gfcf_2014,gfcf_2015,gfcf_2016,gfcf_2017,gfcf_2018,gfcf_2019,gfcf_2020,gfcf_2021,gfcf_2022,gfcf_2023,gfcf_2024,gfcf_2025
395,7210,7210,sigi,Sigi,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Sigi,1351.28,1440.07,1569.52,1737.28,1897.74,2075.57,2235.96,2314.68,2916.16,3226.35,3150.24,3369.97,3512.69,3680,3811.12,3886.31
396,7211,7211,banggailaut,Banggai Laut,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Banggai Laut,236.98,253.08,269.72,286.49,317.77,334.33,347.03,363.6,486.41,528.71,174.89,185.63,200.42,204.67,213.3,221.05
397,7212,7212,morowaliutara,North Morowali,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Morowali Utara,631.79,627.47,695.27,841,861.76,1437.94,1581.9,1644.19,1775.89,1898.13,4310.1,8446.34,12214.44,12375.49,12784.94,13089.06
398,7271,7271,kotapalu,Palu City,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Kota Palu,1724.41,3474.51,3951.86,4441.9,4882.59,5388.69,5582.8,5850.63,6201.86,6898.84,7605.77,8093.32,8435.07,8669.6,8697,8792.92
399,7301,7301,kepulauanselayar,Selayar Islands,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Kepulauan Selayar,725.19,802.73,902.89,1028.07,1119.64,1218.47,1323.85,1438.1,1570.14,1614.61,1643.98,1708.11,1787.68,1848.95,1913.22,1946.89
400,7302,7302,bulukumba,Bulukumba,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Bulukumba,1100.25,1189.91,1364.87,1478.12,1600.57,1730.27,1850.28,2017.65,2171.07,2211.77,2302.14,2391.78,2517.29,2702.71,2827.84,2911.02
401,7303,7303,bantaeng,Bantaeng,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Bantaeng,1125.3,1248.27,1446.53,1627,1795.4,1945.65,2096.95,2342.41,2563.86,2779.15,2804.7,3116.48,3212.36,3427.4,3534.15,3829.8
402,7304,7304,jeneponto,Jeneponto,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Jeneponto,1089.1,1156.65,1264.95,1356.85,1464.64,1591.71,1710.8,2035.32,2293.15,2460.42,2406.25,2438.12,2570.67,2625.75,2686.03,2810.56
403,7305,7305,takalar,Takalar,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Takalar,739.82,762.3,825.59,928,1006.05,1083.28,1173.17,1270.63,1348.46,1408.63,1397.88,1428.71,1549.4,1617.3,1681.3,1707.72
404,7306,7306,gowa,Gowa,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Gowa,1988.08,2191.48,2482.04,2919.81,3108.24,3360.55,3598.81,3884.84,4085.72,4292.95,4334.1,4583.96,4842.7,5033.78,5334.91,5637.23
405,7307,7307,sinjai,Sinjai,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Sinjai,1244.13,1395.94,1604.26,1792.88,1950.21,2128.29,2301.29,2470.99,2628.15,2723.75,2964.3,2910.57,2903.52,3049.93,3223.25,3319.29
406,7308,7308,maros,Maros,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Maros,1447.03,1605.18,1822.74,1999.64,2159.25,2311.47,2496.26,2740,2872.51,3108.6,3380.15,3485.92,3644.45,3683.69,3835.99,4017.41
407,7309,7309,pangkajenedankepulauan,Pangkajene Islands,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Pangkajene dan Kepulauan,1112.74,1235.2,1435.56,1574.04,1693.4,1823.22,1959.58,2126.39,2325.8,2501.76,2581.14,2818.74,2979.15,3099.89,3178.31,3407.14
408,7310,7310,barru,Barru,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Barru,1019.89,1104.12,1259.02,1389.27,1510.34,1638.68,1775.71,1993.18,2152.43,2268.48,2323.46,2454.72,2552.34,2663.84,2861.48,2948.05
409,7311,7311,bone,Bone,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Bone,3426.62,3778.15,4289.24,4739.67,5097.63,5504.43,5922.42,6458.07,6953.76,7356.32,7474.51,7885.66,8371.55,8639.62,8842.12,9149.02
410,7312,7312,soppeng,Soppeng,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Soppeng,1202.85,1339.57,1545.96,1699.37,1843.88,1990.37,2101.26,2303.56,2488.51,2682.86,2780.49,2982.34,3214.53,3347.82,3537.64,3468.07
411,7313,7313,wajo,Wajo,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Wajo,2041.8,2339.17,2699.65,2976.88,3117.76,3333.67,3519.39,3710.29,3800.35,3841.91,3850.89,4035.43,4044.29,4117.85,4258.12,4539.16
412,7314,7314,sidenrengrappang,Sidenreng Rappang,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Sidenreng Rappang,1607.74,1780.54,2007.28,2222.94,2334.4,2482.43,2687.6,2938.46,3080.53,3249.97,3352.99,3526.92,3611.92,3644.99,3837.37,4013.49
413,7315,7315,pinrang,Pinrang,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Pinrang,2139.84,2364.82,2662.19,2965.89,3181.26,3453.8,3731.93,4054.24,4278.5,4565.51,4650.12,4695.96,5085.08,5254,5515.9,5707.82
414,7316,7316,enrekang,Enrekang,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Enrekang,926.76,1011.85,1136,1243.96,1301.2,1426.5,1505.96,1608.95,1702.59,1772.76,1806.33,1897.77,1969.91,2079.15,2087.55,2104.47
415,7317,7317,luwu,Luwu,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Luwu,1660.49,1863.89,2083.12,2284.09,2513.01,2683.68,2856.9,3065.95,3227.13,3438.62,3583.85,3697.82,3915.45,4344.56,4502.19,4731.66
416,7318,7318,tanatoraja,Tana Toraja,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Tana Toraja,707.9,789.23,904.48,1003.15,1072.1,1151.15,1264.75,1365.33,1428.41,1578.25,1506.47,1567.99,1594.74,1671.53,1694.45,1697.59
417,7322,7322,luwuutara,North Luwu,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Luwu Utara,1123.35,1222.26,1356.75,1507.31,1599.46,1764.95,1909.45,2200.96,2362.22,2546.75,2525.09,2559.48,2628.71,2804.95,2783.75,3075.52
418,7325,7325,luwutimur,East Luwu,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Luwu Timur,2186.51,2331.52,2664.67,2954.02,3104.27,3298.01,3512.26,3695.78,3899.79,4103.99,4232.44,4522.16,4750.12,5101.21,5573.4,5794.23
419,7326,7326,torajautara,North Toraja,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Toraja Utara,1015.13,1104.88,1215.74,1341.62,1422.52,1574.1,1670.46,1791.91,1896.8,2021.64,2014.11,2024.84,2082.36,2138.59,2134.83,2244.21
420,7371,7371,kotamakasar,Makassar City,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Kota Makassar,25548.58,28325.3,33542.67,37330.31,41062.14,44549.47,48365.82,52778.92,56439.27,60372.4,61230.83,62601.98,64336.62,66204.32,67853.21,70391.01
421,7372,7372,kotaparepare,Parepare City,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Kota Parepare,1011.15,1128.11,1282.2,1431.22,1528.63,1618.8,1672.34,1741.95,1830.29,1950.56,1942.53,1978.11,2049.92,2095.94,2237.41,2243.89
422,7373,7373,kotapalopo,Palopo City,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Kota Palopo,1068.94,1212.89,1310.62,1423.71,1509.58,1603.55,1729.89,1834.83,1923.48,2046.07,2038.31,2142.2,2317.35,2440.67,2505.69,2616.41
423,7401,7401,buton,Buton,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Buton,1481.15,1577.65,1653.62,1761.36,798.35,830.78,897.29,955.7,999.85,1059.49,1045.75,1087.46,1065.78,1079.21,1209.36,1180.8
424,7402,7402,muna,Muna,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Muna,1613.05,1707.77,1791.75,1899.21,1392.57,1481.73,1561.91,1689.66,1783.86,1868.82,1855.24,1899.12,1964.96,1967.86,1966.22,2038.2
425,7403,7403,konawe,Konawe,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Konawe,1634.77,1722.15,1796.83,1621.24,1781.7,1869.42,1995.2,2171,2303.4,2438.05,2341.09,2453.14,2454.24,2511.79,2630.91,2720.02
426,7404,7404,kolaka,Kolaka,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Kolaka,5521.33,5808.85,6057.69,5676.36,7092.11,7307.45,7961.01,8529.35,8935.4,9351.84,9055.67,9584.17,9586.23,9990.41,9839.98,10542.48
427,7405,7405,konaweselatan,South Konawe,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Konawe Selatan,1572.81,1679.77,1766.91,1885.58,2181.64,2289.26,2468.23,2698.19,2894.61,3062.02,2981.92,3237.25,3316.81,3524.54,3503.94,3501.4
428,7406,7406,bombana,Bombana,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Bombana,766.9,823.15,867.43,934.65,1044.14,1093,1187.68,1279.12,1376.14,1460.1,1462.94,1550.66,1616.27,1635.01,1679.59,1760.62
429,7407,7407,wakatobi,Wakatobi,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Wakatobi,519.86,553.68,575.63,617.24,679.51,719.07,778.06,839.87,894.26,963.94,967.41,1031.34,1045.19,1117.92,1183.47,1175.41
430,7408,7408,kolakautara,North Kolaka,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Kolaka Utara,1387.38,1471.6,1543.25,1640.17,1806.34,1880.46,2055.32,2237.65,2369.96,2516.38,2550.48,2736.87,2737.5,2841.42,2920.41,2926.17
431,7409,7409,butonutara,North Buton,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Buton Utara,471.23,506.03,536.29,577.51,673.25,713.58,766.5,830.4,873.02,923.03,917.74,999.16,1029.16,1052.28,1036.46,1072.18
432,7410,7410,konaweutara,North Konawe,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Konawe Utara,445.55,472.31,496.84,529.48,601.9,631.85,662.85,713.01,757.44,802.58,792.84,844.45,876.61,915.83,947.56,936.19
433,7411,7411,kolakatimur,East Kolaka,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Kolaka Timur,0,0,0,920.75,982.75,1009.94,1087.86,1167.05,1237.15,1311.44,1289.06,1384.17,1384.47,1436.94,1446.59,1476.61
434,7412,7412,konawekepulauan,Konawe Islands,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Konawe Kepulauan,0,0,0,237.35,249.54,258.68,288.95,314.47,331.29,349.96,333.15,355.92,353.65,367.99,368.97,366.51
435,7413,7413,munabarat,West Muna,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Muna Barat,0,0,0,0,689.7,742.71,785.02,853.75,908.06,959.78,943.19,992.02,992.74,1069.12,1039.79,1093.84
436,7414,7414,butontengah,Central Buton,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Buton Tengah,0,0,0,0,541.88,560.3,600.47,651.36,692.4,735.13,722.58,771.31,773.8,819.74,809.28,835.23
437,7415,7415,butonselatan,South Buton,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Buton Selatan,0,0,0,0,636.07,653.3,702.08,759.51,810.91,863.84,846.2,893.87,897.2,926.49,953.73,941.44
438,7471,7471,kotakendari,Kendari City,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Kota Kendari,3951.63,4165.83,4362.76,4610.34,5220.2,5576.5,6081.52,6552.76,6923.2,7232.37,7150.47,7527.41,7571.37,7830.2,8203.11,8499.52
439,7472,7472,kotabaubau,Baubau City,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Kota Baubau,1657.69,1735.52,1830.25,1935.67,2179.14,2316.8,2481.54,2693.88,2881.82,3098.76,3063.73,3238.5,3275.71,3314.42,3311.29,3314.08
440,7501,7501,boalemo,Boalemo,75,Gorontalo,Gorontalo,7,Sulawesi,Sulawesi,Boalemo,403.87,440.31,478.82,519.46,565.89,619.54,654.81,679.08,709.6,736.8,736.75,745.28,759.5,786.24,825.84,915.47
441,7502,7502,gorontalo,Gorontalo,75,Gorontalo,Gorontalo,7,Sulawesi,Sulawesi,Gorontalo,1859.44,2018.56,2172.23,2341.29,2529.36,2740.39,2890.85,2960.68,3054.62,3153.85,3122.65,3214.42,3272.65,3420.24,3536,3696.95
442,7503,7503,pohuwato,Pohuwato,75,Gorontalo,Gorontalo,7,Sulawesi,Sulawesi,Pohuwato,534.2,578.93,624.23,675.51,733.31,801.18,850.58,887.16,926.52,959.87,954.14,966.49,986.37,1015.09,1034.4,1164.9
443,7504,7504,bonebolango,Bone Bolango,75,Gorontalo,Gorontalo,7,Sulawesi,Sulawesi,Bone Bolango,502.46,543,586.46,634.6,685.32,742.63,786.79,833.56,871.66,900.82,902.57,922.47,939.05,972.62,984.15,1013.81
444,7505,7505,gorontaloutara,North Gorontalo,75,Gorontalo,Gorontalo,7,Sulawesi,Sulawesi,Gorontalo Utara,406.66,442.93,480.58,524.95,572.98,627.87,663.92,690,720.31,746.98,744.47,759.71,777.96,804.87,821.63,828.56
445,7571,7571,kotagorontalo,Gorontalo City,75,Gorontalo,Gorontalo,7,Sulawesi,Sulawesi,Kota Gorontalo,1157.34,1256.24,1362.9,1477.87,1604.05,1750.91,1847.62,1922.71,2014.25,2101.48,2080.58,2126.79,2188.53,2257.29,2329.71,2457.56
446,7601,7601,majene,Majene,76,Sulawesi Barat,West Sulawesi,7,Sulawesi,Sulawesi,Majene,453.88,521.23,567.16,606.97,654.32,705.54,766.79,855.65,896.27,940.71,846.73,911.1,901.62,927.64,1002.81,980.59
447,7602,7602,polewalimandar,Polewali Mandar,76,Sulawesi Barat,West Sulawesi,7,Sulawesi,Sulawesi,Polewali Mandar,1148.67,1352.29,1462.2,1633.94,1730.89,1850.31,2023.05,2219.81,2346.54,2479.98,2293.75,2379.72,2394,2444.59,2540.98,2526.51
448,7603,7603,mamasa,Mamasa,76,Sulawesi Barat,West Sulawesi,7,Sulawesi,Sulawesi,Mamasa,267.34,306.73,338.59,369.01,404.03,456.13,512.01,552.02,582.69,615.54,560.92,611.65,607.85,592.43,616.02,618.82
449,7604,7604,mamuju,Mamuju,76,Sulawesi Barat,West Sulawesi,7,Sulawesi,Sulawesi,Mamuju,1291.15,1437.61,1522.52,1670.14,1875.27,2004.17,2199.27,2365.73,2486.97,2633.04,2419.2,2636.82,2621.97,2721.25,2840.77,2820.56
450,7605,7605,mamujuutara,Pasangkayu,76,Sulawesi Barat,West Sulawesi,7,Sulawesi,Sulawesi,Mamuju Utara,1095.54,1265.29,1401.84,1630.82,1727.53,1812.13,2064.46,2251.38,2363.02,2497.88,2339.02,2506.07,2508.58,2529.94,2619.46,2588.29
451,7606,7606,mamujutengah,Central Mamuju,76,Sulawesi Barat,West Sulawesi,7,Sulawesi,Sulawesi,Mamuju Tengah,0,0,327.2,350.41,397.28,426.83,467.57,503.25,530.53,561.64,542.47,576.11,567.54,590.58,624.62,613.64
452,8101,8101,malukutenggarabarat,Tanimbar Islands,81,Maluku,Maluku,8,Maluku,Maluku,Maluku Tenggara Barat,415.37,497.53,612.91,650.53,694.56,749.23,805.29,857.63,900.18,955.09,959.3,1016.92,1033.1,1040.9,1063.75,1074.81
453,8102,8102,malukutenggara,Southeast Maluku,81,Maluku,Maluku,8,Maluku,Maluku,Maluku Tenggara,360.27,431.44,526.1,579.98,611.12,635.9,668.73,705.57,759.91,791.1,782.42,805.61,818.25,826.46,842.55,849.52
454,8103,8103,malukutengah,Central Maluku,81,Maluku,Maluku,8,Maluku,Maluku,Maluku Tengah,662.21,778.23,942.16,1046.47,1104.2,1136.01,1223.56,1298.89,1377.61,1474.65,1453.36,1518.81,1535,1535.98,1577.27,1578.49
455,8104,8104,buru,Buru,81,Maluku,Maluku,8,Maluku,Maluku,Buru,328.62,386.48,469.8,505.27,536.06,570.6,594.29,644.07,681.69,719.21,703.27,718.83,728.07,729.46,743.73,751
456,8105,8105,kepulauanaru,Aru Islands,81,Maluku,Maluku,8,Maluku,Maluku,Kepulauan Aru,307.07,360.97,438.02,486.68,513.58,542.09,580.12,631.01,666.45,754.61,735.86,755.2,764.74,772.45,791.94,798.86
457,8106,8106,serambagianbarat,West Seram,81,Maluku,Maluku,8,Maluku,Maluku,Seram Bagian Barat,409.14,483.13,586.41,627.11,672.13,715.09,764.24,822.09,888.82,946.46,945.86,989.83,1010.57,1018.14,1041.46,1047.59
458,8107,8107,serambagiantimur,East Seram,81,Maluku,Maluku,8,Maluku,Maluku,Seram Bagian Timur,306.24,363.89,440.99,475.89,491.05,510.43,545.52,582.55,629.47,661.56,657.7,676.9,687.96,695.44,710.57,716.55
459,8108,8108,malukubaratdaya,Southwest Maluku,81,Maluku,Maluku,8,Maluku,Maluku,Maluku Barat Daya,191.96,228.18,275.89,294.92,313.94,322.76,347.77,375.61,408.94,438.16,406.16,425.03,430.63,434.93,445.93,453.89
460,8109,8109,buruselatan,South Buru,81,Maluku,Maluku,8,Maluku,Maluku,Buru Selatan,180.9,215.45,262.31,287.57,304.31,324.43,357.93,393.07,428.98,458.9,449.15,467.07,473.27,475.49,485.51,492.28
461,8171,8171,kotaambon,Ambon City,81,Maluku,Maluku,8,Maluku,Maluku,Kota Ambon,979.02,1142.01,1378.11,1577.39,1670.71,1752.07,1835.7,1946.82,2117.86,2257.45,2183.61,2270.63,2287.63,2305.08,2349.47,2371.83
462,8172,8172,kotatual,Tual City,81,Maluku,Maluku,8,Maluku,Maluku,Kota Tual,244.81,286.57,348.48,384.6,411.43,435.78,457.21,485.12,522.73,553.22,546.11,563.3,568.92,574.63,586.09,591.31
463,8201,8201,halmaherabarat,West Halmahera,82,Maluku Utara,North Maluku ,8,Maluku,Maluku,Halmahera Barat,182.09,212.12,235.34,251.54,264.25,292.19,321.6,347.7,364.92,343.58,162.97,152.12,222.04,156.3,172.66,162.78
464,8202,8202,halmaheratengah,Central Halmahera,82,Maluku Utara,North Maluku ,8,Maluku,Maluku,Halmahera Tengah,288.93,364.07,416.73,440.89,450.76,519.17,593.64,664.56,612.85,1466.58,8667.59,10507.61,18519.05,12681.98,14847.86,21930.85
465,8203,8203,kepulauansula,Sula Islands,82,Maluku Utara,North Maluku ,8,Maluku,Maluku,Kepulauan Sula,276.76,311.55,344.85,358.93,389.42,422.61,449.65,483.75,462.74,428.05,372.85,269,429.46,559,541.53,475.69
466,8204,8204,halmaheraselatan,South Halmahera,82,Maluku Utara,North Maluku ,8,Maluku,Maluku,Halmahera Selatan,449.68,593.32,679.45,755.87,805.16,938.74,1066.81,1396.79,1315.31,5792.6,3475.18,3074.3,5381.08,4796.21,6148.79,5796.12
467,8205,8205,halmaherautara,North Halmahera,82,Maluku Utara,North Maluku ,8,Maluku,Maluku,Halmahera Utara,580.65,718.72,852.21,903.04,911.99,1033.58,1074.12,1163.78,1089.12,1186.61,1236.08,1081.19,1344.39,913.99,944.29,1372.82
468,8206,8206,halmaheratimur,East Halmahera,82,Maluku Utara,North Maluku ,8,Maluku,Maluku,Halmahera Timur,502.56,605.74,656.85,694.74,742.68,791.13,859.73,1026.94,1134.94,1232.39,770.55,961.13,917.67,1355.79,1359.96,1439.8
469,8207,8207,pulaumorotai,Morotai Island,82,Maluku Utara,North Maluku ,8,Maluku,Maluku,Pulau Morotai,165.96,192.55,212.96,231.1,237.16,251.88,273.17,354.36,365.22,373.28,401.29,424.69,472.68,368.92,371.05,344.81
470,8208,8208,pulautaliabu,Taliabu Island,82,Maluku Utara,North Maluku ,8,Maluku,Maluku,Pulau Taliabu,97.21,124.56,139.67,150.12,157.97,175.03,428.41,300.85,128.56,590.1,115.18,473.03,170.82,176.64,225.65,102.35
471,8271,8271,kotaternate,Ternate City,82,Maluku Utara,North Maluku ,8,Maluku,Maluku,Kota Ternate,635.59,728.95,780.46,800.24,874.86,916.44,992.94,1130.17,1180.6,1194.17,1193.68,1152.1,1896.32,2484.13,1308.27,1100.06
472,8272,8272,kotatidorekepulauan,Tidore Islands City,82,Maluku Utara,North Maluku ,8,Maluku,Maluku,Kota Tidore Kepulauan,251.75,292.6,314.67,332.51,348.88,369.43,406.13,476.39,495.4,525.31,509.57,503.86,656.11,544.38,568.44,416.07
473,9101,9101,fakfak,Fakfak,91,Papua Barat,West Papua,9,Papua,Papua,Fakfak,919.04,971.06,990.7,1139.48,1132.44,1199.63,1226.95,1270.31,1305.13,1330.46,1302.93,1300.86,1270.01,1270.66,1158.14,1183.16
474,9102,9102,kaimana,Kaimana,91,Papua Barat,West Papua,9,Papua,Papua,Kaimana,352.18,378.98,400.8,447.06,449.06,492.62,515.61,520.22,524.13,528.1,505.7,463.05,427.43,412.65,423.65,429.67
475,9103,9103,telukwondama,Teluk Bintuni,91,Papua Barat,West Papua,9,Papua,Papua,Teluk Wondama,195.12,211.41,222.08,263.42,265.77,286.22,301.64,317.99,327.65,331.36,319.16,316.1,320.87,321.13,321.47,326.48
476,9104,9104,telukbintuni,Teluk Bintuni,91,Papua Barat,West Papua,9,Papua,Papua,Teluk Bintuni,374.61,397.38,409.07,476.73,487.04,527.82,545.5,586.53,715.88,2233.07,2181.37,2159.65,2052.47,1720.5,1407.77,1297
477,9105,9105,manokwari,Manokwari,91,Papua Barat,West Papua,9,Papua,Papua,Manokwari,1877.73,2059.3,2179,2455.88,2495.71,2684.94,2943.25,2984.11,3013.7,2741.87,2559.12,2594.47,2381.14,1582.35,1809.93,1713.13
478,9111,9111,manokwariselatan,South Manokwari,92,Papua Barat,West Papua,9,Papua,Papua,Manokwari Selatan,0,0,25.25,28.49,30.47,32.81,33.43,34.43,36.05,36.01,37.47,40.69,40.61,39.52,39.01,40.14
479,9112,9112,pegununganarfak,Pegunungan Arfak,92,Papua Barat ,West Papua,9,Papua,Papua,Pegunungan Arfak,0,0,11.37,12.41,14.23,15.47,16.03,16.54,17.28,18.83,18.92,32.59,53.81,62.58,64.59,64.81
480,9201,9108,rajaampat,Raja Ampat,92,Papua Barat Daya,Southwest Papua ,9,Papua,Papua,Raja Ampat,203.72,225.82,233.28,269.16,280.47,311.22,324.29,332.67,347.52,355.23,331.15,348.03,353.18,328.02,315.14,310.75
481,9202,9107,sorong,Sorong,91,Papua Barat Daya,Southwest Papua ,9,Papua,Papua,Sorong,967.94,1023.54,1036.87,1096.38,1115.24,1214.91,1288.41,1365.19,1486.08,1530.56,1482.66,1421.24,1408.46,1393.83,1413.95,1428.46
482,9203,9106,sorongselatan,South Sorong,91,Papua Barat Daya,Southwest Papua ,9,Papua,Papua,Sorong Selatan,263.78,286.59,309.93,351.63,357.57,392.45,409.38,436.34,457.39,471.87,453.1,428.56,440.5,413.58,365.3,356.22
483,9204,9110,maybrat,Maybrat,92,Papua Barat Daya,Southwest Papua ,9,Papua,Papua,Maybrat,66.99,72.03,73.81,85.18,88.62,96.12,98.63,102.39,106.77,112.12,110.3,113.68,116.02,102.82,106.07,98.45
484,9205,9109,tambrauw,Tambrauw,92,Papua Barat Daya,Southwest Papua ,9,Papua,Papua,Tambrauw,24.06,25.3,27.15,29.66,30.58,32.18,33.84,35.76,37.14,39.22,37.41,37.74,39.03,35.4,35.64,37.99
485,9271,9171,kotasorong,Sorong City,92,Papua Barat Daya,Southwest Papua ,9,Papua,Papua,Kota Sorong,1618.14,1767.32,1843.83,2112.99,2236.47,2575.94,2679.39,2816.14,2866.13,2332.23,2040.34,2104.44,1667.23,1495.9,1554.45,1546.85
486,9403,9403,jayapura,Jayapura,94,Papua,Papua,9,Papua,Papua,Jayapura,1193.45,1221.72,1340.95,1438.17,1567.41,1660.95,1765.34,1938.59,2106.72,2289.4,2378.79,2590.65,2659.38,2744.32,2829.57,2832.51
487,9408,9408,kepulauanyapen,Yapen Islands,94,Papua,Papua,9,Papua,Papua,Kepulauan Yapen,394.12,420.62,443.23,474.27,515.34,550.39,583.85,612.5,641.78,662.17,648.31,661.5,667.21,666.78,674.68,678.94
488,9409,9409,biaknumfor,Biak Numfor,94,Papua,Papua,9,Papua,Papua,Biak Numfor,489.27,514.79,529.86,573.32,615.24,653.8,699.64,548.5,582.05,593.49,532.63,578.87,599.89,623.78,640.37,644.33
489,9419,9419,sarmi,Sarmi,94,Papua,Papua,9,Papua,Papua,Sarmi,442.03,468.45,508.66,548.25,597.46,637.25,673.39,700.41,753.36,799.68,824.88,848.26,888.43,917.83,937.06,941.89
490,9420,9420,keerom,Keerom,94,Papua,Papua,9,Papua,Papua,Keerom,565.62,613.17,648.79,699.26,763.72,813.16,860.49,904.56,951.26,997.95,994.07,1019.05,1043.73,1064.43,1093.87,1095.86
491,9426,9426,waropen,Waropen,94,Papua,Papua,9,Papua,Papua,Waropen,345.32,371.22,394.07,428.07,468.31,509.31,555.85,602.29,647.22,673.85,650.62,682.94,708.98,680.33,699.08,706.24
492,9427,9427,supiori,Supiori,94,Papua,Papua,9,Papua,Papua,Supiori,218.21,235.34,244.46,264.31,285.68,302.07,321.59,342.83,370,393.91,414.17,481.28,489.76,505.12,513.9,525.64
493,9428,9428,mamberamoraya,Mamberamo Raya,94,Papua,Papua,9,Papua,Papua,Mamberamo Raya,263.35,284.95,303.78,329.17,357.97,386.12,413.21,435.26,463.93,494.18,480.26,491.06,508.19,528.96,542.03,549.87
494,9471,9471,kotajayapura,Jayapura City,94,Papua,Papua,9,Papua,Papua,Kota Jayapura,6948.48,7417.56,7714.77,8326.15,7309.05,7916.63,8459.22,8844.37,9109.76,9542.17,9553.5,10148.02,10362.55,10614.92,10792.21,10874.01
495,9501,9401,merauke,Merauke,95,Papua Selatan,South Papua,9,Papua,Papua,Merauke,1637.16,1746.64,1813.77,1959.47,2122.48,2226.26,2356.07,2515.3,2646.3,2772.8,2775.71,3007.24,3212.17,3351.99,3510.41,3618.25
496,9502,9413,bovendigoel,Boven Digoel,95,Papua Selatan,South Papua,9,Papua,Papua,Boven Digoel,1182.02,1261.31,1300.44,1402.52,690.05,746.66,799.54,855.22,923.27,973.81,970.64,1017.51,1028.96,1075.56,1116.47,1112.96
497,9503,9414,mappi,Mappi,95,Papua Selatan,South Papua,9,Papua,Papua,Mappi,479.32,512.85,543.85,584.32,638.39,688.85,741.46,807.71,881,947.37,900.13,979.68,1033.04,1078.94,1120.53,1143.32
498,9504,9415,asmat,Asmat,95,Papua Selatan,South Papua,9,Papua,Papua,Asmat,433.12,465.32,487.05,526.97,572.62,595.6,636.5,677.43,719.73,767.71,778.81,850.82,874.81,919.42,944.47,966.01
